customer_id,customer_name,gender,age,home_address,zip_code,city,state,country
1,fulan 1,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia
2,fulan 2,Prefer not to say,69,8327 Kirlin SummitApt. 461,8223,New Zacharyfort,South Australia,Australia
3,fulan 3,Prefer not to say,59,269 Gemma SummitSuite 109,5661,Aliburgh,Australian Capital Territory,Australia
4,fulan 4,Prefer not to say,67,743 Bailey GroveSuite 141,1729,South Justinhaven,Queensland,Australia
5,fulan 5,Prefer not to say,30,48 Hyatt ManorSuite 375,4032,Griffithsshire,Queensland,Australia
6,fulan 6,Prefer not to say,40,7118 Mccullough SquareSuite 639,9996,Blakehaven,New South Wales,Australia
7,fulan 7,Prefer not to say,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia
8,fulan 8,Prefer not to say,75,383 Muller SummitSuite 809,7681,Samside,Northern Territory,Australia
9,fulan 9,Male,51,57 Greenfelder HillApt. 077,2,Beierport,Northern Territory,Australia
10,fulan 10,Prefer not to say,70,615 Hayley KnollSuite 454,2118,Joelburgh,Western Australia,Australia
11,fulan 11,Prefer not to say,39,96 Daniel PlaceSuite 898,7400,Georgeland,Northern Territory,Australia
12,fulan 12,Prefer not to say,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia
13,fulan 13,Male,42,16 Kuhn LoopSuite 442,6170,Maddisonmouth,Queensland,Australia
14,fulan 14,Prefer not to say,36,403 Doherty RunSuite 497,2050,North Benjaminville,New South Wales,Australia
15,fulan 15,Prefer not to say,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia
16,fulan 16,Male,75,424 Mason PlaceApt. 181,6438,New Kai,Victoria,Australia
17,fulan 17,Prefer not to say,32,29 Imogen CrestSuite 275,8309,Lake Graceside,Australian Capital Territory,Australia
18,fulan 18,Male,79,13 Bailey ManorApt. 848,7171,Walterland,New South Wales,Australia
19,fulan 19,Prefer not to say,41,002 Beau PlazaApt. 308,7053,West Bailey,Victoria,Australia
20,fulan 20,Prefer not to say,55,2069 Phoebe MallApt. 543,6318,East Audrey,South Australia,Australia
21,fulan 21,Prefer not to say,31,93 Doherty MewsSuite 649,1133,South Callum,Tasmania,Australia
22,fulan 22,Prefer not to say,20,292 Casper IslandSuite 778,6624,Maxberg,Victoria,Australia
23,fulan 23,Female,32,682 Rose CircleApt. 514,1832,North Mia,Tasmania,Australia
24,fulan 24,Prefer not to say,49,75 Williamson MewsSuite 864,4359,Charliebury,Northern Territory,Australia
25,fulan 25,Prefer not to say,75,02 Gabriella PlazaApt. 474,9311,Olivershire,Victoria,Australia
26,fulan 26,Prefer not to say,50,499 Darcy CrestApt. 192,8816,New Oliverside,New South Wales,Australia
27,fulan 27,Prefer not to say,55,6578 Kayla AvenueSuite 812,3462,Lake Alanafort,Western Australia,Australia
28,fulan 28,Prefer not to say,79,360 Heller DriveApt. 052,5820,West Noah,Queensland,Australia
29,fulan 29,Male,20,52 Kayla CircuitSuite 332,5308,North Matildamouth,Queensland,Australia
30,fulan 30,Female,38,612 Jessica TerraceApt. 847,7110,Jetttown,Australian Capital Territory,Australia
31,fulan 31,Prefer not to say,36,471 Bahringer ManorApt. 236,756,Dickensberg,Northern Territory,Australia
32,fulan 32,Prefer not to say,32,98 Becker LoopApt. 567,1822,Port Archiemouth,Queensland,Australia
33,fulan 33,Male,44,639 Farrell HillSuite 093,4116,Chaseshire,South Australia,Australia
34,fulan 34,Prefer not to say,55,09 Robinson SquareApt. 647,5387,Sauerfort,Western Australia,Australia
35,fulan 35,Male,80,3168 Bartoletti CrescentSuite 878,593,Port Lucas,Queensland,Australia
36,fulan 36,Prefer not to say,27,41 Durgan IslandApt. 820,5691,Hamishfurt,Queensland,Australia
37,fulan 37,Male,75,3307 Walsh JunctionSuite 233,9751,Violetville,Western Australia,Australia
38,fulan 38,Male,34,2958 Dooley Station StSuite 879,1920,Lake Lilly,Australian Capital Territory,Australia
39,fulan 39,,80,7440 Cameron Estate DrSuite 628,4622,North Victoriachester,Northern Territory,Australia
40,fulan 40,Prefer not to say,59,9484 Amelia View RdApt. 760,9767,Port Claudia,New South Wales,Australia
41,fulan 41,Male,65,647 Violet Estate DrSuite 364,4320,Port Ella,New South Wales,Australia
42,fulan 42,Prefer not to say,37,778 Wilkinson RidgeSuite 101,268,Gabriellatown,Victoria,Australia
43,fulan 43,Prefer not to say,34,75 Keeling JunctionSuite 483,1490,South Kaiview,Queensland,Australia
44,fulan 44,Prefer not to say,60,6308 Amelie MeadowSuite 634,9842,Eliburgh,Tasmania,Australia
45,fulan 45,Male,27,3101 Thomson ManorApt. 600,1796,Leofurt,Australian Capital Territory,Australia
46,fulan 46,Prefer not to say,68,708 Daniel MeadowSuite 246,5087,Bartolettiside,Australian Capital Territory,Australia
47,fulan 47,Prefer not to say,54,59 Wood DriveSuite 806,9780,Lake Nicholasfurt,Western Australia,Australia
48,fulan 48,Male,79,78 Nguyen MallApt. 116,4761,Heathcotemouth,New South Wales,Australia
49,fulan 49,Female,56,30 Watson WayApt. 179,2511,Port Alyssa,Queensland,Australia
